"Source:","C:\GH\oomlout_oomp_electronic_project_ibbc_breakout_board_sensor_temperature_pressure_bosch_bme280\kicad\version_1\working\working.kicad_sch"
"Date:","29/09/2023 12:04:51"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","8"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","c6nf100","c6nf100_electronic_capacitor_0603_100_nano_farad_1","oomlout_oomp_part_footprints:c6nf100_electronic_capacitor_0603_100_nano_farad","Unpolarized capacitor","",""
"J1","1","h4psmra","h4psmra_electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle","oomlout_oomp_part_footprints:h4psmra_electronic_header_1_mm_jst_sh_4_pin_surface_mount_right_angle","Generic connector, single row, 01x04, script generated","",""
"J2","1","h1d276p","h1d276p_electronic_header_1d27_mm_6_pin","oomlout_oomp_part_footprints:h1d276p_electronic_header_1d27_mm_6_pin","Generic connector, single row, 01x06, script generated","",""
"R1, R2, R3","3","r6o472","r6o472_electronic_resistor_0603_4700_ohm","oomlout_oomp_part_footprints:r6o472_electronic_resistor_0603_4700_ohm","Resistor","",""
"U1","1","isn280","isn280_electronic_ic_lga_2_5_mm_x_2_5_mm_8_pin_sensor_pressure_temperature_bosch_bme280","oomlout_oomp_part_footprints:isn280_electronic_ic_lga_2_5_mm_x_2_5_mm_8_pin_sensor_pressure_temperature_bosch_bme280","3-in-1 sensor, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8","",""
